hervID,avg_tumor,avg_normal,logFC,pvalue,threshold
herv_1885,0.0221452481692385,0.00229008329400749,3.27352518725416,2.69481157009293e-93,None
herv_1590,0.0264535372225962,0.00273833387827715,3.27209037787224,2.16925592967956e-68,None
herv_2084,0.0577656539203596,0.00599153536891386,3.26921430033289,1.97759102568664e-84,None
herv_3367,0.22333639601018,0.0231796167378277,3.2682897615931,0,None
herv_1936,0.0231922696464038,0.0024072242379588,3.26820156895841,1.91815599158449e-144,None
herv_3427,0.015038212589611,0.00156091578277154,3.26816849575073,2.15401560517662e-135,None
herv_2268,0.0306925815229373,0.00318979511048689,3.2663543308551,1.18072380527002e-182,None
herv_1646,0.154985205531367,0.0161083652479307,3.26624851114328,2.19779420722397e-108,None
herv_2297,0.331624904208914,0.0345358681029963,3.26338496053237,4.24088166671934e-282,None
herv_4881,0.0418632459698321,0.00437187144382022,3.25936129497263,2.21341223954147e-79,None
herv_1749,0.0404820174453689,0.0042283398458427,3.25911794865929,3.42563466476821e-58,None
herv_1324,0.0220502891501214,0.00230323031273408,3.25906698776224,1.56234831026081e-112,None
herv_1096,0.049304261159171,0.00516582375093633,3.25464201091109,4.15970750668655e-142,None
herv_549,0.124392235595819,0.0130551148782772,3.2522093793089,1.60663833809842e-71,None
herv_4176,0.0542424096999978,0.00570377849250936,3.24943141051483,7.6242409948917e-182,None
herv_3964,0.0278279927093721,0.00292637280149813,3.249351371272,4.1355912494267e-167,None
herv_2134,0.0366760452673727,0.00385899261985019,3.24854189339144,1.66629473353721e-102,None
herv_3861,0.0362925140168287,0.00383290891840824,3.24316037630156,7.80890127021864e-70,None
herv_3701,0.0516808374417171,0.00546214976779026,3.24208867049763,1.16690958086092e-82,None
herv_3957,0.0214608198953137,0.0022779635505618,3.23588862633963,1.49343226816945e-140,None
herv_3610,0.0416093827968769,0.00441685129213483,3.23581872343739,1.03172727429931e-81,None
herv_2329,0.0850702716001689,0.00903267348071161,3.23543009682885,2.51453827800999e-70,None
herv_1202,0.0640838385627404,0.00681458591198502,3.23326266692986,2.59040989250809e-113,None
herv_1469,0.0028097429415257,0.000298923310861423,3.23259083499367,2.04268268771128e-67,None
herv_3577,0.291887717118259,0.0311316914475655,3.2289576337117,0,None
herv_5583,0.0445090854957117,0.00475007428033708,3.22807787961871,1.70440053486053e-107,None
herv_1051,0.0678497574141946,0.00725029035955056,3.22623297909848,2.36599068813059e-82,None
herv_3962,0.040723854809065,0.00435290635955056,3.22582323938111,7.44392413237208e-24,None
herv_4270,0.175796771501607,0.018801032241573,3.22502479757851,6.31091771303951e-158,None
herv_2167,0.0201910201717424,0.00216121051123596,3.22380229725804,3.1469284666366e-35,None
herv_5329,0.0268030328104825,0.00287929678464419,3.21860784537522,2.15794748288323e-90,None
herv_6264,0.328919296795375,0.035346196840236,3.21810675140128,3.11972928993943e-170,None
herv_3694,0.0640251878101579,0.00688813474531835,3.21645430975507,7.85941241859041e-21,None
herv_2318,0.0972661406405484,0.0104693779157303,3.21576195446187,5.22982942838183e-132,None
herv_5335,0.00524082415724845,0.000564221602996255,3.21545989355811,1.54108259034724e-44,None
herv_941,0.00702094039548155,0.000757166970037453,3.21298089753786,7.22743619797046e-48,None
herv_1294,0.0168008528051244,0.00181256247752809,3.21243183593263,9.08398885917171e-91,None
herv_3971,0.112707482485377,0.012182975335824,3.20964487960313,0,None
herv_1563,0.0173699118515714,0.00187760218164794,3.209627104309,3.22429560636604e-172,None
herv_5829,0.0532185551849778,0.00575289228277154,3.20956998103786,3.82621168829553e-78,None
herv_6224,0.0246079162597891,0.00266158702059925,3.20876385789267,6.66157041444285e-75,None
herv_5045,0.0144135021894785,0.00155955158614232,3.20821774439139,4.85944062692775e-35,None
herv_5110,0.0197854594704296,0.00214230515355805,3.20720466912247,1.79506066341585e-93,None
herv_995,0.0634216839044356,0.00687700843071161,3.20512316349371,0,None
herv_748,0.0790046216782919,0.00856805320224719,3.2048977082751,1.04740217332523e-316,None
herv_1316,0.0039016590327961,0.000425036513108614,3.19842901830264,2.64595316574032e-42,None
herv_2113,0.0500690076746386,0.0054727524406367,3.19357935972992,4.52346161988103e-283,None
herv_2294,0.147721223944223,0.0161609574194757,3.19229254620741,3.95638068423781e-264,None
herv_997,0.00958907295450402,0.00104917069475655,3.19214192996687,3.55124890601027e-12,None
